"Year","Use District","Density District","Volume","FAR","MLA","MLA/unit","Height","Lot Coverage","Front Setback","Side Setback","Rear Setback","Parking"
"1923","R or A","1st Volume District","10x lot area
13x if corner
Add 0.2 for each 100 feet lot is below 3600 sq ft, max 2x add'l","","","R: One unit
A: Unlimited","66 ft
33 ft at street
+2 ft for each 1 ft setback","50%
65% if corner","R - 15% of avg block lot depth
A - 10% of avg block lot depth
If block built out, existing building line","1 ft setback for each 3 ft above 30 ft","","None"
"1923","R or A","2nd Volume District","40x lot area
50x if corner
Add 1% for each 100 ft lot is below 3600 sq ft, max 5% add'l","","","R: One unit
A: Unlimited","132 ft
66 ft at street
+2 ft for each 1 ft setback
1/3 bonus if frontage >120 ft, or w/i 150 ft of park, railway, or water","60%
75% if corner","R - 15% of avg block lot depth
A - 10% of avg block lot depth
If block built out, existing building line","1 ft setback for each 3 ft above 30 ft","","None"
"1923","R or A","3rd Volume District","100x lot area
120x if corner
1/8x bonus for tower if <25% of lot area","","","R: One unit
A: Unlimited","198 ft
132 ft at street
+2 ft for each 1 ft setback
Unlimited tower if <25% of lot area
1/3 bonus if frontage >120 ft, or w/i 150 ft of park, railway, or water","75%
90% if corner","R - 15% of avg block lot depth
A - 10% of avg block lot depth
If block built out, existing building line","None","","None"
"1923","R or A","4th Volume District","100x lot area
120x if corner
1/8x bonus for tower if <25% of lot area","","","R: One unit
A: Unlimited","198 ft
132 ft at street
+2 ft for each 1 ft setback
Unlimited tower if <25% of lot area
1/3 bonus if frontage >120 ft, or w/i 150 ft of park, railway, or water","75%
90% if corner","R - 15% of avg block lot depth
A - 10% of avg block lot depth
If block built out, existing building line","None","","None"
"1923","R or A","5th Volume District","100x lot area
120x if corner
1/8x bonus for tower if <25% of lot area","","","R: One unit
A: Unlimited","198 ft
132 ft at street
+2 ft for each 1 ft setback
Unlimited tower if <25% of lot area","75%
90% if corner","R - 15% of avg block lot depth
A - 10% of avg block lot depth
If block built out, existing building line","None","","None"
"1923","C","1st Volume District","36x lot area
1/8x bonus for tower if <25% of lot area","","","Unlimited","66 ft
33 ft at street
+2 ft for each 1 ft setback
Unlimited tower if <25% of lot area","100%","None","1 ft setback for each 3 ft above 30 ft","","None"
"1923","C","2nd Volume District","72x lot area
1/8x bonus for tower if <25% of lot area","","","Unlimited","132 ft
66 ft at street
+2 ft for each 1 ft setback
Unlimited tower if <25% of lot area
1/3 bonus if frontage >120 ft, or w/i 150 ft of park, railway, or water","100%","None","None","","None"
"1923","C","3rd Volume District","144x lot area
1/8x bonus for tower if <25% of lot area","","","Unlimited","198 ft
132 ft at street
+2 ft for each 1 ft setback
Unlimited tower if <25% of lot area
1/3 bonus if frontage >120 ft, or w/i 150 ft of park, railway, or water","100%","None","None","","None"
"1923","C","4th Volume District","216x lot area
1/8x bonus for tower if <25% of lot area","","","Unlimited","264 ft
198 ft at street
+2 ft for each 1 ft setback
Unlimited tower if <25% of lot area
1/3 bonus if frontage >120 ft, or w/i 150 ft of park, railway, or water","100%","None","None","","None"
"1923","C","5th Volume District","Unlimited","","","Unlimited","Unlimited
264 ft at street
30 degree angle above
Unlimited tower if <25% of lot area","100%","None","None","","None"
"1957","R","1","","0.5","6250","One unit","","","Lesser of 20 ft or 16% lot depth","One story: Greater of 3 ft or 10% lot width
>1 story: Greater of 3 ft or 15% lot width","Greater of 2/3 building height or 30 ft","1"
"1957","R","2","","0.5","5000","One unit","","","Lesser of 20 ft or 16% lot depth","One story: Greater of 2.5 ft or 10% lot width
>1 story: Greater of 3 ft or 15% lot width","Greater of 2/3 building height or 30 ft","1"
"1957","R","3","","0.7","2500
3750 for two-unit bldg","","","","Lesser of 20 ft or 16% lot depth","<25 ft height: 5 ft, minus 6"" for each foot lot width below 34
>25 ft height: 1/5 building height","Greater of 2/3 building height or 30 ft","1"
